gameID,aPlayer,aRating,aScore,bPlayer,bRating,bScore
"1","Joeseph9","7","4","Jessica10","7","0"
"1","Danny19","9","4","Chris20","3","0"
"1","Tom11","3","4","Sherman12","5","0"
"1","Vivien3","8","4","Michael7","8","0"
"1","Khoman 6","6","4","Max14","5","0"
"1","Jonathan5","9","4","Alex2","3","0"
"1","Jeffrey1","7","4","Ryan18","5","0"
"1","Frank8","9","4","Karen13","7","0"
"2","Vivien3","8","8","Khoman 6","6","0"
"2","Danny19","9","8","Tom11","3","0"
"2","Marcus17","4","8","Chris20","3","0"
"2","Martin16","6","8","Alex2","3","0"
"2","Jessica10","7","8","Sherman12","5","0"
"2","Jonathan5","9","8","","",""
"3","John4","4","2","Jessica10","7","0"
"3","Vivien3","8","2","Khoman 6","6","0"
"3","Danny19","9","2","Ryan18","5","0"
"3","Martin16","6","2","Karen13","7","0"
"3","Max14","5","2","Jonathan5","9","0"
"3","Jeffrey1","7","2","","",""
"4","Joeseph9","7","3","Marcus17","4","0"
"4","Vivien3","8","3","Jonathan5","9","0"
"4","Jeffrey1","7","3","Martin16","6","0"
"4","Danny19","9","3","Karen13","7","0"
"4","Chris20","3","3","Tom11","3","0"
"4","Michael7","8","3","John4","4","0"
"5","Khoman 6","6","1","Michael7","8","0"
"5","Frank8","9","1","Joeseph9","7","0"
"5","Max14","5","1","Jeffrey1","7","0"
"5","Chris20","3","1","Martin16","6","0"
"5","Jose15","8","1","Alex2","3","0"
"5","Sherman12","5","1","Tom11","3","0"
"5","Vivien3","8","1","Ryan18","5","0"
"6","Marcus17","4","1","Danny19","9","0"
"6","Michael7","8","1","Max14","5","0"
"6","Khoman 6","6","1","Jonathan5","9","0"
"6","John4","4","1","Jose15","8","0"
"6","Joeseph9","7","1","Martin16","6","0"
"6","Frank8","9","1","Sherman12","5","0"
"6","Vivien3","8","1","","",""
"7","Vivien3","8","0","Michael7","8","3"
"7","Khoman 6","6","0","Karen13","7","3"
"7","Jessica10","7","0","Frank8","9","3"
"7","John4","4","0","Danny19","9","3"
"7","Jonathan5","9","0","Marcus17","4","3"
"7","Chris20","3","0","Jose15","8","3"
"7","Tom11","3","0","Jeffrey1","7","3"
"8","John4","4","2","Ryan18","5","0"
"8","Frank8","9","2","Tom11","3","0"
"8","Joeseph9","7","2","Michael7","8","0"
"8","Marcus17","4","2","Martin16","6","0"
"8","Vivien3","8","2","Sherman12","5","0"
"9","Chris20","3","0","John4","4","2"
"9","Ryan18","5","0","Vivien3","8","2"
"9","Joeseph9","7","0","Karen13","7","2"
"9","Max14","5","0","Marcus17","4","2"
"10","Jessica10","7","1","Chris20","3","0"
"10","Jeffrey1","7","1","Vivien3","8","0"
"10","Alex2","3","1","Tom11","3","0"
"10","Karen13","7","1","Danny19","9","0"
"11","John4","4","0","Jose15","8","1"
"11","Jonathan5","9","0","Max14","5","1"
"11","Jessica10","7","0","Michael7","8","1"
"11","Sherman12","5","0","Martin16","6","1"
"11","Tom11","3","0","Marcus17","4","1"
"12","Chris20","3","3","Sherman12","5","0"
"12","Jose15","8","3","Alex2","3","0"
"12","John4","4","3","Tom11","3","0"
"12","Michael7","8","3","Jessica10","7","0"
"12","Karen13","7","3","Jonathan5","9","0"
"12","Jeffrey1","7","3","","",""
"13","Alex2","3","2","Ryan18","5","0"
"13","Martin16","6","2","Chris20","3","0"
"13","Jonathan5","9","2","Tom11","3","0"
"13","Max14","5","2","Khoman 6","6","0"
"13","Michael7","8","2","Jose15","8","0"
"14","Marcus17","4","2","Chris20","3","0"
"14","Ryan18","5","2","Jonathan5","9","0"
"14","Sherman12","5","2","Tom11","3","0"
"14","Jessica10","7","2","Karen13","7","0"
"14","Jose15","8","2","John4","4","0"
"14","Khoman 6","6","2","Danny19","9","0"
"14","Joeseph9","7","2","Martin16","6","0"
"14","Vivien3","8","2","","",""
"15","Ryan18","5","3","Jessica10","7","0"
"15","Frank8","9","3","Tom11","3","0"
"15","Khoman 6","6","3","John4","4","0"
"15","Jose15","8","3","Martin16","6","0"
"15","Vivien3","8","3","Karen13","7","0"
"15","Jonathan5","9","3","Danny19","9","0"
"16","Alex2","3","0","Danny19","9","3"
"16","Joeseph9","7","0","Max14","5","3"
"16","Jessica10","7","0","Vivien3","8","3"
"16","Chris20","3","0","Karen13","7","3"
"16","John4","4","0","Marcus17","4","3"
"16","Tom11","3","0","Sherman12","5","3"
"16","Jonathan5","9","0","Frank8","9","3"
"16","Michael7","8","0","Jeffrey1","7","3"
"17","Sherman12","5","0","Ryan18","5","4"
"17","Vivien3","8","0","Karen13","7","4"
"17","Tom11","3","0","Jessica10","7","4"
"17","Max14","5","0","Frank8","9","4"
"18","Chris20","3","0","Marcus17","4","1"
"18","Michael7","8","0","Khoman 6","6","1"
"18","Ryan18","5","0","Frank8","9","1"
"18","Max14","5","0","Vivien3","8","1"
"18","Jonathan5","9","0","Sherman12","5","1"
"18","John4","4","0","Martin16","6","1"
"18","Danny19","9","0","Joeseph9","7","1"
"18","Jeffrey1","7","0","Karen13","7","1"
"19","John4","4","0","Jessica10","7","2"
"19","Jose15","8","0","Jeffrey1","7","2"
"19","Alex2","3","0","Vivien3","8","2"
"19","Danny19","9","0","Khoman 6","6","2"
"20","Jose15","8","5","Chris20","3","0"
"20","Danny19","9","5","Alex2","3","0"
"20","Jonathan5","9","5","Joeseph9","7","0"
"20","Marcus17","4","5","Karen13","7","0"
"21","John4","4","0","Jeffrey1","7","0"
"21","Danny19","9","0","Jonathan5","9","0"
"21","Khoman 6","6","0","Karen13","7","0"
"21","Max14","5","0","Sherman12","5","0"
"21","Alex2","3","0","","",""
"22","Jeffrey1","7","3","Karen13","7","0"
"22","Chris20","3","3","Jessica10","7","0"
"22","Khoman 6","6","3","Alex2","3","0"
"22","Ryan18","5","3","John4","4","0"
"22","Jonathan5","9","3","Michael7","8","0"
"22","Joeseph9","7","3","Marcus17","4","0"
"22","Danny19","9","3","Jose15","8","0"
"22","Max14","5","3","","",""
"23","Frank8","9","1","Tom11","3","0"
"23","Joeseph9","7","1","Michael7","8","0"
"23","Jose15","8","1","Jeffrey1","7","0"
"23","Alex2","3","1","Chris20","3","0"
"23","Jessica10","7","1","Karen13","7","0"
"23","John4","4","1","Khoman 6","6","0"
"24","Jose15","8","4","Frank8","9","0"
"24","Jeffrey1","7","4","Tom11","3","0"
"24","Ryan18","5","4","Martin16","6","0"
"24","Jonathan5","9","4","John4","4","0"
"24","Marcus17","4","4","","",""
"25","Khoman 6","6","0","Michael7","8","1"
"25","Martin16","6","0","Ryan18","5","1"
"25","Jeffrey1","7","0","Tom11","3","1"
"25","John4","4","0","Jonathan5","9","1"
"26","Alex2","3","1","John4","4","0"
"26","Karen13","7","1","Jonathan5","9","0"
"26","Jose15","8","1","Chris20","3","0"
"26","Joeseph9","7","1","Frank8","9","0"
"26","Michael7","8","1","Jessica10","7","0"
"26","Sherman12","5","1","Marcus17","4","0"
"26","Ryan18","5","1","Max14","5","0"
"27","Frank8","9","3","Max14","5","0"
"27","Vivien3","8","3","Khoman 6","6","0"
"27","Jose15","8","3","Sherman12","5","0"
"27","Tom11","3","3","Alex2","3","0"
"27","Chris20","3","3","Jonathan5","9","0"
"27","Joeseph9","7","3","Karen13","7","0"
"27","Danny19","9","3","","",""
"28","Jonathan5","9","8","Ryan18","5","0"
"28","Vivien3","8","8","Max14","5","0"
"28","Danny19","9","8","Chris20","3","0"
"28","Khoman 6","6","8","Jeffrey1","7","0"
"28","Jessica10","7","8","","",""
"29","Karen13","7","0","Sherman12","5","1"
"29","Chris20","3","0","Danny19","9","1"
"29","Michael7","8","0","Jeffrey1","7","1"
"29","Khoman 6","6","0","Jessica10","7","1"
"29","Ryan18","5","0","Max14","5","1"
"29","Vivien3","8","0","Joeseph9","7","1"
"30","Joeseph9","7","1","Martin16","6","0"
"30","Tom11","3","1","Karen13","7","0"
"30","Sherman12","5","1","Khoman 6","6","0"
"30","Jose15","8","1","Chris20","3","0"
"30","Vivien3","8","1","Marcus17","4","0"
"30","Alex2","3","1","Ryan18","5","0"
"31","Chris20","3","0","Joeseph9","7","6"
"31","Marcus17","4","0","Ryan18","5","6"
"31","Sherman12","5","0","Jose15","8","6"
"31","Tom11","3","0","Jessica10","7","6"
"32","Max14","5","0","Chris20","3","2"
"32","Danny19","9","0","Frank8","9","2"
